source_folder,sprite_number,x,y,width,height
01_KakaoTalk_20260818_020740723,1,1,613,40,56
01_KakaoTalk_20260818_020740723,2,44,613,40,56
01_KakaoTalk_20260818_020740723,3,87,613,40,56
01_KakaoTalk_20260818_020740723,4,130,613,40,56
01_KakaoTalk_20260818_020740723,5,173,613,40,56
01_KakaoTalk_20260818_020740723,6,217,636,32,32
01_KakaoTalk_20260818_020740723,7,1,672,52,56
01_KakaoTalk_20260818_020740723,8,55,674,36,31
01_KakaoTalk_20260818_020740723,9,92,674,32,31
01_KakaoTalk_20260818_020740723,10,348,686,40,40
01_KakaoTalk_20260818_020740723,11,393,687,40,40
01_KakaoTalk_20260818_020740723,12,180,688,52,38
01_KakaoTalk_20260818_020740723,13,237,688,48,38
01_KakaoTalk_20260818_020740723,14,436,689,37,37
01_KakaoTalk_20260818_020740723,15,477,689,20,38
01_KakaoTalk_20260818_020740723,16,289,693,55,34
01_KakaoTalk_20260818_020740723,17,56,706,9,22
01_KakaoTalk_20260818_020740723,18,169,706,7,22
01_KakaoTalk_20260818_020740723,19,1,730,392,15
01_KakaoTalk_20260818_020740723,20,1,749,120,179
01_KakaoTalk_20260818_020740723,21,413,750,78,36
01_KakaoTalk_20260818_020740723,22,124,756,16,16
01_KakaoTalk_20260818_020740723,23,143,756,16,16
01_KakaoTalk_20260818_020740723,24,225,763,120,48
01_KakaoTalk_20260818_020740723,25,355,773,54,55
01_KakaoTalk_20260818_020740723,26,125,776,96,97
01_KakaoTalk_20260818_020740723,27,348,778,2,8
01_KakaoTalk_20260818_020740723,28,413,789,80,38
01_KakaoTalk_20260818_020740723,29,256,812,90,1
01_KakaoTalk_20260818_020740723,30,225,815,120,59
01_KakaoTalk_20260818_020740723,31,349,832,80,41
01_KakaoTalk_20260818_020740723,32,434,834,52,38
01_KakaoTalk_20260818_020740723,33,490,835,20,38
01_KakaoTalk_20260818_020740723,34,125,877,318,51
01_KakaoTalk_20260818_020740723,35,447,879,48,49
01_KakaoTalk_20260818_020740723,36,2,932,300,92
