"category","tree","id","skill_name","image_path","local_path","source_url","status"
"Weapon Skills","Blade","0","Hammer Slam","blade/hammerslam.png","Weapon Skills\Blade\00_Hammer Slam.png","https://coryn.club/skill/blade/hammerslam.png","downloaded"
"Weapon Skills","Blade","1","Cleaving Attack","blade/cleavingattack.png","Weapon Skills\Blade\01_Cleaving Attack.png","https://coryn.club/skill/blade/cleavingattack.png","downloaded"
"Weapon Skills","Blade","2","Storm Blaze","blade/stormblaze.png","Weapon Skills\Blade\02_Storm Blaze.png","https://coryn.club/skill/blade/stormblaze.png","downloaded"
"Weapon Skills","Blade","3","Garde Blade","blade/gardeblade.png","Weapon Skills\Blade\03_Garde Blade.png","https://coryn.club/skill/blade/gardeblade.png","downloaded"
"Weapon Skills","Blade","4","Ogre Slash","blade/ogreslash.png","Weapon Skills\Blade\04_Ogre Slash.png","https://coryn.club/skill/blade/ogreslash.png","downloaded"
"Weapon Skills","Blade","5","Hard Hit","blade/hardhit.png","Weapon Skills\Blade\05_Hard Hit.png","https://coryn.club/skill/blade/hardhit.png","downloaded"
"Weapon Skills","Blade","6","Astute","blade/astute.png","Weapon Skills\Blade\06_Astute.png","https://coryn.club/skill/blade/astute.png","downloaded"
"Weapon Skills","Blade","7","Trigger Slash","blade/tiggerslash.png","Weapon Skills\Blade\07_Trigger Slash.png","https://coryn.club/skill/blade/tiggerslash.png","downloaded"
"Weapon Skills","Blade","8","Rampage","blade/rampage.png","Weapon Skills\Blade\08_Rampage.png","https://coryn.club/skill/blade/rampage.png","downloaded"
"Weapon Skills","Blade","9","Meteor Breaker","blade/meteorbreaker.png","Weapon Skills\Blade\09_Meteor Breaker.png","https://coryn.club/skill/blade/meteorbreaker.png","downloaded"
"Weapon Skills","Blade","10","Shut-Out","blade/shutout.png","Weapon Skills\Blade\10_Shut-Out.png","https://coryn.club/skill/blade/shutout.png","downloaded"
"Weapon Skills","Blade","11","Lunar Slash","blade/lunarslash.png","Weapon Skills\Blade\11_Lunar Slash.png","https://coryn.club/skill/blade/lunarslash.png","downloaded"
"Weapon Skills","Blade","12","Sonic Blade","blade/sonicblade.png","Weapon Skills\Blade\12_Sonic Blade.png","https://coryn.club/skill/blade/sonicblade.png","downloaded"
"Weapon Skills","Blade","13","Spiral Air","blade/spiralair.png","Weapon Skills\Blade\13_Spiral Air.png","https://coryn.club/skill/blade/spiralair.png","downloaded"
"Weapon Skills","Blade","14","Sword Tempest","blade/swordtempest.png","Weapon Skills\Blade\14_Sword Tempest.png","https://coryn.club/skill/blade/swordtempest.png","downloaded"
"Weapon Skills","Blade","15","Buster Blade","blade/busterblade.png","Weapon Skills\Blade\15_Buster Blade.png","https://coryn.club/skill/blade/busterblade.png","downloaded"
"Weapon Skills","Blade","16","Aura Blade","blade/aurablade.png","Weapon Skills\Blade\16_Aura Blade.png","https://coryn.club/skill/blade/aurablade.png","downloaded"
"Weapon Skills","Blade","17","Sword Mastery","blade/swordmastery.png","Weapon Skills\Blade\17_Sword Mastery.png","https://coryn.club/skill/blade/swordmastery.png","downloaded"
"Weapon Skills","Blade","18","Quick Slash","blade/quickslash.png","Weapon Skills\Blade\18_Quick Slash.png","https://coryn.club/skill/blade/quickslash.png","downloaded"
"Weapon Skills","Blade","19","Sword Techniques","blade/swordtechniques.png","Weapon Skills\Blade\19_Sword Techniques.png","https://coryn.club/skill/blade/swordtechniques.png","downloaded"
"Weapon Skills","Blade","20","War Cry","blade/warcry.png","Weapon Skills\Blade\20_War Cry.png","https://coryn.club/skill/blade/warcry.png","downloaded"
"Weapon Skills","Blade","21","Berserk","blade/berserk.png","Weapon Skills\Blade\21_Berserk.png","https://coryn.club/skill/blade/berserk.png","downloaded"
"Weapon Skills","Blade","22","Gladiate","blade/gladiate.png","Weapon Skills\Blade\22_Gladiate.png","https://coryn.club/skill/blade/gladiate.png","downloaded"
"Weapon Skills","Blade","23","Swift Attack","blade/swiftattack.png","Weapon Skills\Blade\23_Swift Attack.png","https://coryn.club/skill/blade/swiftattack.png","downloaded"
"Weapon Skills","Shot","0","Power Shot","shot/powershot.png","Weapon Skills\Shot\00_Power Shot.png","https://coryn.club/skill/shot/powershot.png","downloaded"
"Weapon Skills","Shot","1","Bullseye","shot/bullseye.png","Weapon Skills\Shot\01_Bullseye.png","https://coryn.club/skill/shot/bullseye.png","downloaded"
"Weapon Skills","Shot","2","Arrow Rain","shot/arrowrain.png","Weapon Skills\Shot\02_Arrow Rain.png","https://coryn.club/skill/shot/arrowrain.png","downloaded"
"Weapon Skills","Shot","3","Snipe","shot/snipe.png","Weapon Skills\Shot\03_Snipe.png","https://coryn.club/skill/shot/snipe.png","downloaded"
"Weapon Skills","Shot","4","Cross Fire","shot/crossfire.png","Weapon Skills\Shot\04_Cross Fire.png","https://coryn.club/skill/shot/crossfire.png","downloaded"
"Weapon Skills","Shot","5","Piercing Shot","shot/piercingshot.png","Weapon Skills\Shot\05_Piercing Shot.png","https://coryn.club/skill/shot/piercingshot.png","downloaded"
"Weapon Skills","Shot","6","Vanquisher","shot/vanquisher.png","Weapon Skills\Shot\06_Vanquisher.png","https://coryn.club/skill/shot/vanquisher.png","downloaded"
"Weapon Skills","Shot","7","Twin Storm","shot/twinstorm.png","Weapon Skills\Shot\07_Twin Storm.png","https://coryn.club/skill/shot/twinstorm.png","downloaded"
"Weapon Skills","Shot","8","Retrograde Shot","shot/retrogradeshot.png","Weapon Skills\Shot\08_Retrograde Shot.png","https://coryn.club/skill/shot/retrogradeshot.png","downloaded"
"Weapon Skills","Shot","9","Quick Loader","shot/quickloader.png","Weapon Skills\Shot\09_Quick Loader.png","https://coryn.club/skill/shot/quickloader.png","downloaded"
